"rules","support","confidence","coverage","lift","count"
"1","{Harry.Potter2} => {Harry.Potter1}",0.1,1,0.1,5,1
"4","{LOTR} => {Green.Mile}",0.1,1,0.1,5,1
"7","{LOTR1} => {LOTR2}",0.2,1,0.2,5,2
"8","{LOTR2} => {LOTR1}",0.2,1,0.2,5,2
"2","{Braveheart} => {Patriot}",0.1,1,0.1,1.66666666666667,1
"6","{LOTR} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"9","{Green.Mile} => {Sixth.Sense}",0.2,1,0.2,1.66666666666667,2
"3","{Braveheart} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"5","{LOTR} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"10","{Patriot} => {Gladiator}",0.6,1,0.6,1.42857142857143,6
